2016/7/1_14:9:22||	$pS170.281339,	$187820.316978,	B2379.838800,	S-5529.874744,	SC1103,	Num0		,	29.550000,	80.536000,	54.056000,	-102.299000,	-269.392000,	374.651000,	209.750000,	203.930000,	-44.479000,	-39.699000,	-484.142000,	489.294000,	-382.153000,	-495.792000,	-144.743000,	348.765000,	24.289000,	1.453000,	-500.000000,	-223.583000,	-47.353000,	50.519000,	-103.841000,	432.567000,	28.482000,	482.574000,	-96.998000,	-433.186000,	23.709000,	115.988000,	126.990000,	-485.574000,	-447.495000,	-487.211000,	-359.511000,	-493.159000,	277.339000,	-495.738000,	439.304000,	-153.803000,	116.613000,	-157.732000,	-87.753000,	28.884000,	160.056000,	-69.479000,	-497.807000,	222.907000,	-442.321000,	-48.986000
2016/7/12_23:3:17||	$pS206.302915,	$206715.520801,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_22:39:24||	$pS206.366098,	$206572.464374,	B1653.223752,	S-5170.878400,	SC1001,	Num0,	GUID533973384		,	-52.116000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_22:45:1||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_22:48:36||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_22:49:36||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_22:51:7||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_22:54:48||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_22:55:46||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_22:56:51||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
2016/7/13_23:1:23||	$pS206.248198,	$206660.694382,	B1645.610472,	S-5170.878400,	SC1002,	Num0,	GUID757147		,	-51.876000,	-31.722000,	36.320000,	-142.370000,	-322.508000,	-288.110000,	-55.924000,	-361.672000,	332.972000,	99.266000,	227.576000,	99.498000,	316.770000,	53.840000,	-500.000000,	-62.760000,	-368.548000,	111.560000,	-369.990000,	478.644000,	-163.184000,	29.020000,	114.192000,	409.382000,	-164.020000,	497.296000,	-423.994000,	98.128000,	-26.950000,	-261.190000,	109.118000,	-233.880000,	248.270000,	-37.692000,	-201.812000,	-223.128000,	-451.242000,	371.300000,	-264.820000,	124.780000,	144.994000,	-239.482000,	-203.826000,	-276.244000,	-389.248000,	81.484000,	-448.390000,	-470.424000,	-500.000000,	62.176000
